transaction_id,customer_id,date,amount,currency,status
TXN001,CUST001,2025-10-28,100.50,USD,completed
TXN002,CUST002,10/28/2025,$1200.75,USD,COMPLETED
TXN003,CUST003,28-10-2025,€500.25,EUR,failed
TXN004,CUST001,2025-10-29,75.00,USD,pending
TXN005,CUST004,10/29/2025,£299.99,GBP,completed
TXN006,CUST005,29-10-25,"1.200,50",EUR,success
TXN007,CUST002,20251030,¥15000,JPY,OK
TXN008,CUST006,2025-10-30,"$2,500.00",USD,FAILED
TXN009,CUST007,30/10/2025,999.99,CAD,cancelled
TXN010,CUST003,2025-10-31,150.75,EUR,PROCESSING
TXN011,CUST008,2025-11-01,2500.00,USD,completed
TXN012,CUST009,11/01/2025,"$3,450.25",USD,COMPLETED
TXN013,CUST010,01-11-2025,"€1,250.75",EUR,failed
TXN014,CUST011,2025-11-02,890.50,USD,pending
TXN015,CUST012,02/11/2025,£450.00,GBP,completed
TXN016,CUST013,2025-11-03,"2.500,00",EUR,success
TXN017,CUST014,20251104,¥25000,JPY,OK
TXN018,CUST015,2025-11-05,"$5,750.50",USD,FAILED
TXN019,CUST016,05/11/2025,1250.99,CAD,cancelled
TXN020,CUST017,2025-11-06,675.25,EUR,PROCESSING
TXN021,CUST018,2025-11-07,99.99,USD,completed
TXN022,CUST019,07/11/2025,"$12,345.67",USD,COMPLETED
TXN023,CUST020,07-11-2025,€888.88,EUR,failed
TXN024,CUST021,2025-11-08,1500.00,USD,pending
TXN025,CUST022,08/11/2025,£777.77,GBP,completed
TXN026,CUST114,2025-06-05,69797.81,AUD,FAILED
TXN027,CUST697,20250409,£42609.02,GBP,completed
TXN028,CUST485,09/15/2025,23153.83,CNY,PROCESSING
TXN029,CUST797,20250215,"£74,659.13",GBP,success
TXN030,CUST424,20251026,¥60734.86,JPY,COMPLETED
TXN031,CUST365,11/18/2025,"22,549.63",CHF,failed
TXN032,CUST265,20251208,69249.95,CHF,failed
TXN033,CUST782,2025-09-14,97005.01,AUD,failed
TXN034,CUST447,06/11/2025,99407.99,CNY,CANCELLED
TXN035,CUST979,11-12-2025,22985.76,AUD,COMPLETED
TXN036,CUST707,2025-04-19,31439.84,EUR,CANCELLED
TXN037,CUST151,13-10-2025,21252.99,CHF,PROCESSING
TXN038,CUST655,2025-08-21,"€15,981.23",EUR,success
TXN039,CUST787,05/04/2025,22142.88,CAD,PROCESSING
TXN040,CUST154,30-12-2025,90885.77,CNY,PROCESSING
TXN041,CUST637,24-09-2025,51456.77,CNY,OK
TXN042,CUST635,11/02/2025,27696.65,CNY,completed
TXN043,CUST837,20251227,86881.49,USD,completed
TXN044,CUST327,07/23/2025,¥45706.56,CNY,failed
TXN045,CUST465,11/14/2025,39886.55,GBP,PROCESSING
TXN046,CUST493,22-09-2025,"$49,690.06",USD,pending
TXN047,CUST297,05/19/2025,"$46,655.43",USD,pending
TXN048,CUST106,30-05-2025,24339.38,GBP,COMPLETED
TXN049,CUST190,2025-06-01,32434.58,CAD,success
TXN050,CUST699,05/04/2025,10287.91,CHF,success
TXN051,CUST110,2025-11-25,9545.35,CHF,OK
TXN052,CUST861,2025-07-12,¥4722.97,JPY,COMPLETED
TXN053,CUST523,27-01-2025,¥92405.04,CNY,success
TXN054,CUST163,21-04-2025,85622.18,GBP,OK
TXN055,CUST684,23-11-2025,98756.12,CAD,COMPLETED
TXN056,CUST911,01-09-2025,75140.40,CHF,OK
TXN057,CUST600,20250513,58913.00,AUD,completed
TXN058,CUST395,2025-03-29,87206.73,JPY,completed
TXN059,CUST415,2025-08-09,52572.23,USD,CANCELLED
TXN060,CUST874,03/15/2025,"£9,591.47",GBP,failed
TXN061,CUST607,10/18/2025,2108.07,JPY,COMPLETED
TXN062,CUST123,2025-11-22,"$96,044.53",USD,cancelled
TXN063,CUST775,20250912,33681.14,CHF,CANCELLED
TXN064,CUST972,06-11-2025,55238.99,EUR,pending
TXN065,CUST454,11/29/2025,94183.45,AUD,COMPLETED
TXN066,CUST502,07/04/2025,$36149.08,USD,pending
TXN067,CUST909,2025-03-26,96138.66,AUD,pending
TXN068,CUST800,06/15/2025,38155.27,CAD,completed
TXN069,CUST953,20250828,65525.83,USD,completed
TXN070,CUST334,20250608,$30128.60,USD,FAILED
TXN071,CUST224,2025-09-16,58154.82,JPY,completed
TXN072,CUST335,31-03-2025,¥12538.19,CNY,PROCESSING
TXN073,CUST170,20250815,8011.10,JPY,COMPLETED
TXN074,CUST194,20250505,42142.94,AUD,FAILED
TXN075,CUST756,20250224,26492.09,JPY,PROCESSING
TXN076,CUST401,03-08-2025,95880.64,CHF,cancelled
TXN077,CUST333,20250812,52891.88,CHF,PROCESSING
TXN078,CUST160,07-02-2025,22612.30,CNY,success
TXN079,CUST911,10-06-2025,46333.95,GBP,FAILED
TXN080,CUST116,01/23/2025,€21939.23,EUR,success
TXN081,CUST492,01/26/2025,29367.88,CAD,OK
TXN082,CUST655,20251103,20534.62,AUD,failed
TXN083,CUST297,10/20/2025,38403.05,AUD,cancelled
TXN084,CUST708,20250914,39606.02,GBP,PROCESSING
TXN085,CUST446,09/16/2025,18971.65,CAD,pending
TXN086,CUST739,29-07-2025,10330.77,USD,COMPLETED
TXN087,CUST477,2025-01-19,5719.82,EUR,PROCESSING
TXN088,CUST480,2025-03-22,46887.84,GBP,completed
TXN089,CUST120,12/03/2025,£10685.14,GBP,OK
TXN090,CUST676,2025-04-20,28299.72,EUR,OK
TXN091,CUST960,20250911,21162.39,CAD,cancelled
TXN092,CUST263,08-06-2025,12081.11,USD,FAILED
TXN093,CUST193,02/28/2025,37372.81,CNY,COMPLETED
TXN094,CUST104,08/30/2025,71263.16,CHF,completed
TXN095,CUST588,2025-07-13,18565.05,AUD,OK
TXN096,CUST863,2025-04-12,60472.69,AUD,completed
TXN097,CUST451,02/25/2025,35611.15,JPY,FAILED
TXN098,CUST193,09/24/2025,52824.92,CHF,OK
TXN099,CUST618,01/27/2025,"¥30,990.59",CNY,success
TXN100,CUST985,20250916,¥15692.77,JPY,COMPLETED
TXN101,CUST833,10/10/2025,£53416.17,GBP,failed
TXN102,CUST481,2025-02-03,37652.24,CAD,cancelled
TXN103,CUST486,05/23/2025,13244.78,CAD,pending
TXN104,CUST873,02/21/2025,47473.74,EUR,CANCELLED
TXN105,CUST992,07/06/2025,56317.69,GBP,FAILED
TXN106,CUST830,20250722,55102.83,USD,FAILED
TXN107,CUST825,20251213,70943.31,CAD,completed
TXN108,CUST320,20251229,"¥91,666.92",CNY,success
TXN109,CUST334,26-02-2025,"¥64,367.06",CNY,completed
TXN110,CUST743,2025-05-05,8732.29,CHF,cancelled
TXN111,CUST582,2025-09-02,52986.05,JPY,FAILED
TXN112,CUST735,2025-08-19,"48,492.41",CHF,CANCELLED
TXN113,CUST458,2025-12-29,£34627.19,GBP,cancelled
TXN114,CUST532,2025-04-01,21659.86,AUD,CANCELLED
TXN115,CUST938,12/25/2025,47258.50,CHF,PROCESSING
TXN116,CUST135,07-07-2025,67712.28,CNY,failed
TXN117,CUST476,2025-06-17,6267.01,CAD,failed
TXN118,CUST416,20251130,32473.50,CNY,completed
TXN119,CUST209,06/26/2025,518.81,AUD,CANCELLED
TXN120,CUST214,07/09/2025,33482.91,CAD,COMPLETED
TXN121,CUST361,07/11/2025,72770.73,GBP,failed
TXN122,CUST265,10/25/2025,€87943.39,EUR,OK
TXN123,CUST110,06/08/2025,28777.69,CHF,completed
TXN124,CUST898,08/10/2025,€17401.61,EUR,failed
TXN125,CUST819,20251021,26741.76,CHF,pending
TXN126,CUST766,02/12/2025,21519.29,CAD,FAILED
TXN127,CUST115,05/13/2025,26643.46,EUR,completed
TXN128,CUST647,20250914,€64556.77,EUR,completed
TXN129,CUST122,16-02-2025,$73809.47,USD,failed
TXN130,CUST282,09/07/2025,15729.74,CNY,pending
TXN131,CUST722,03/14/2025,23518.63,GBP,FAILED
